/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/affinity.rs:26 | INTERNAL | sem_os_policy::context_resolution:: | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/discovery.rs:40 | INTERNAL | dsl_core::config::loader::ConfigLoader | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/discovery.rs:41 | INTERNAL | dsl_core::config::types::ArgConfig | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/discovery.rs:41 | INTERNAL | dsl_core::config::types::DomainConfig | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/discovery.rs:41 | INTERNAL | dsl_core::config::types::VerbConfig | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/discovery.rs:41 | INTERNAL | dsl_core::config::types::VerbMetadata | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/schema/diagrams.rs:22 | INTERNAL | sem_os_ontology::verb_contract::VerbContractBody | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/schema/diagrams.rs:23 | INTERNAL | sem_os_policy::affinity::match_intent | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/schema/diagrams.rs:23 | INTERNAL | sem_os_policy::affinity::AffinityGraph | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/schema/diagrams.rs:23 | INTERNAL | sem_os_policy::affinity::DataRef | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/schema/diagrams.rs:24 | INTERNAL | sem_os_policy::diagram:: | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/nav.rs:230 | INTERNAL | sem_os_core::principal::Principal | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/pack_select.rs:91 | INTERNAL | sem_os_core::principal::Principal | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/authoring.rs:7 | INTERNAL | sem_os_core::error::SemOsError | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/authoring.rs:8 | INTERNAL | sem_os_core::principal::Principal | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/authoring.rs:9 | INTERNAL | sem_os_policy::authoring::ports:: | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/authoring.rs:12 | GLOB | sem_os_policy::authoring::types::* | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/workbook_diagnostics.rs:6 | INTERNAL | sem_os_policy::state_simulation::StateSimulationError | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/approval_token.rs:9 | INTERNAL | sem_os_policy::domain_pack::DomainPackManifest | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/approval_token.rs:399 | INTERNAL | sem_os_policy::domain_pack:: | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/approval_token.rs:403 | INTERNAL | sem_os_policy::state_simulation:: | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/kyc_dry_run.rs:15 | INTERNAL | sem_os_policy::domain_pack::DomainPackDiagnostic | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/kyc_dry_run.rs:15 | INTERNAL | sem_os_policy::domain_pack::DomainPackManifest | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/kyc_dry_run.rs:16 | INTERNAL | sem_os_policy::state_simulation:: | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/workbook.rs:8 | INTERNAL | sem_os_policy::state_simulation::StateSimulationResult | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/workbook.rs:245 | INTERNAL | sem_os_policy::state_simulation:: | ob-poc-boundary
